id_customer,recency,frequency,monetary
2889,2492,0.0338,97.67
2894,1688,0.0135,17.74
2895,142,0.0878,190.05
2899,1748,0.0743,143.36
2907,149,0.1486,302.24
2917,197,0.4730,642.54
2927,2428,0.1419,256.42
2928,1619,0.0676,209.50
2932,2148,0.0338,159.35
2933,241,0.5473,1245.32
2935,1550,0.0068,19.93
2941,660,0.0135,50.37
2942,1856,0.0068,11.36
2946,286,0.0541,90.51
2947,1595,1.3784,2127.77
2949,2236,0.0203,62.45
2950,2591,0.0203,86.19
2951,119,0.1689,258.71
2957,375,0.4257,784.67
2958,392,0.5878,929.15
2972,751,0.0068,17.38
210764,296,0.2000,13.25
210765,296,0.2000,10.62
2980,232,0.0473,62.21
2981,2784,0.0068,19.95
2989,1577,0.0068,4.70
2994,1093,0.1284,398.65
3002,2756,0.0068,17.22
3014,2010,0.0338,110.38
3019,1534,0.0068,15.68
3024,2792,0.0068,24.98
3026,2799,0.0338,43.29
3032,2842,0.0068,20.75
3038,429,0.2365,575.74
3044,1443,0.0541,224.88
3049,251,0.0676,566.31
3056,1901,0.1014,166.72
3057,369,0.1824,241.33
3061,1691,0.0608,85.57
3063,2449,0.0135,94.50
3066,2062,0.0405,53.12
3076,558,0.0811,61.95
3088,816,0.0135,7.58
3091,451,0.1419,194.85
3094,1437,0.1622,264.87
3095,2377,0.0203,82.70
3106,1165,0.0473,67.14
3108,442,0.2703,248.55
3109,1797,0.0608,46.01
3110,1436,0.0946,101.90
3120,509,0.0811,227.39
3123,597,0.1081,45.58
3125,782,0.0676,164.36
3133,452,1.0203,3485.06
3137,2695,0.0203,44.12
3139,2698,0.0946,136.15
3140,789,0.2838,706.13
3143,2402,0.0135,22.96
3148,192,0.7297,2195.00
3154,2816,0.0270,159.07
3157,323,0.0135,19.78
3162,771,0.2635,926.37
3165,367,0.0811,191.85
3169,1866,0.0135,103.84
3171,1035,0.1216,232.98
3176,162,1.6554,3927.88
3187,217,1.0340,1183.70
3188,1586,0.0340,116.17
3191,2162,0.0068,13.13
3196,117,0.9116,1635.13
3201,2068,0.0748,114.95
3204,2764,0.0408,68.21
3205,949,0.0068,28.50
3208,1357,0.1565,337.86
3214,1695,0.0136,14.03
3220,286,0.7483,1813.67
3223,467,0.3401,625.19
3225,1163,0.8095,1382.46
3226,1662,0.0068,7.90
3227,276,0.1769,340.23
3228,815,0.0340,43.07
3229,2131,0.0136,11.41
3234,812,0.0476,120.52
3248,1808,0.4490,2167.69
3257,2300,0.0340,105.63
3258,2515,0.0204,102.81
3260,1646,0.0068,12.99
3261,550,0.0544,119.12
3263,985,0.9048,587.74
3268,2796,0.0272,35.68
3286,329,0.0748,180.79
3294,1384,0.4286,1342.22
3297,200,0.7619,1655.24
3298,2876,0.0068,14.10
3300,2593,0.0136,175.31
3304,2568,0.0204,53.89
3307,286,0.0204,34.34
3308,2026,0.0816,127.46
3311,1543,0.2381,645.46
3312,2301,0.0272,150.22
3313,2697,0.0272,43.30
3318,2425,0.0136,56.63
3321,322,0.0544,85.00
3327,746,0.0272,27.38
3329,719,0.0340,92.56
3330,1501,0.0816,384.46
3341,119,0.0068,23.59
3347,2638,0.0136,134.92
3349,2481,0.0068,21.25
3355,1265,0.0952,174.93
3368,807,0.0136,41.09
3371,138,0.2517,397.04
3373,2433,0.0340,134.91
3376,2272,0.0068,49.99
3378,1935,0.0340,245.89
3379,1531,0.0136,34.22
3380,2792,0.0476,44.24
3395,1625,0.0068,33.13
3398,449,0.3401,514.34
3408,821,0.0272,56.47
3416,1324,0.4626,465.98
3422,297,0.0952,91.17
3425,1308,0.0340,24.01
3427,786,0.0408,89.70
3428,279,0.1905,355.80
3429,219,0.0816,143.55
3435,2398,0.0068,34.95
3440,2209,0.0204,62.13
3441,1581,0.0476,233.45
3442,2740,0.0204,498.17
3446,447,0.3537,1546.27
3448,570,0.0204,192.76
3454,551,0.1633,345.45
3457,1256,0.0952,132.24
3458,895,0.0136,77.58
3460,570,0.5170,584.33
3461,2577,0.0204,63.87
3470,146,3.0544,7376.37
3474,631,0.2925,539.30
3478,1712,0.0068,41.63
3479,2627,0.0068,71.21
3481,2664,0.0476,187.07
3489,483,0.2109,460.20
3494,2689,0.0340,73.62
3499,318,0.3265,750.39
3502,375,0.0272,33.84
3508,1321,0.1088,204.59
3510,956,0.1769,173.30
3512,760,0.0068,10.28
3515,2527,0.0068,5.82
3519,531,0.0408,132.98
3522,1188,0.0340,88.40
3528,1996,0.0408,106.61
3531,1621,0.0136,4.32
3536,992,0.0408,77.38
3549,327,0.1769,242.97
3550,1540,0.0340,170.27
3553,1922,0.0476,121.78
3564,2637,0.0476,118.12
3567,234,0.2177,218.07
3569,395,0.8367,561.51
3573,788,1.0340,2240.34
3575,1930,0.0408,164.27
3580,2201,0.0544,73.73
3583,2764,0.0136,51.77
3588,2537,0.0068,46.20
3591,795,0.0340,98.16
3599,1601,0.0340,19.31
3608,1228,0.0476,97.60
3616,1818,0.0068,11.36
3620,450,0.2721,413.96
3637,2635,0.0068,112.86
3642,512,0.0136,35.05
3653,2797,0.0340,46.91
3658,1081,0.0068,20.19
3659,1574,0.0272,74.55
3660,1272,0.0340,34.40
3663,1272,0.0136,28.37
3674,746,0.1224,219.51
3681,2301,0.1088,121.49
3698,819,0.1020,223.02
3703,2294,0.0136,102.26
3707,146,0.8844,944.58
3710,330,0.0612,90.04
3713,238,0.0476,38.23
3720,635,0.1020,216.43
3721,1052,0.0408,84.82
3723,2234,0.0884,388.26
3730,2208,0.0068,85.42
3733,2436,0.0204,48.53
3736,1951,0.0136,45.66
3743,2643,0.1088,90.72
3744,800,0.0952,311.19
3750,797,0.2313,448.45
3751,1627,0.0204,31.46
3752,415,0.1633,420.36
3754,403,0.0272,47.90
3763,2397,0.0272,65.80
3765,132,0.2245,362.92
3769,2873,0.0136,41.72
3773,432,0.0340,63.80
3779,334,0.0068,5.38
3781,2372,0.0136,169.15
3782,1586,0.0136,7.34
3786,119,0.0612,203.91
3791,930,0.0612,135.27
3798,733,0.0544,51.08
3802,828,0.0544,121.72
3830,450,0.0068,29.15
3831,382,0.0544,57.77
3834,2660,0.0068,195.42
3840,1223,0.0272,252.11
3846,983,0.0272,62.63
3848,723,0.1020,75.15
3851,1541,0.0204,163.41
3852,2872,0.0544,48.75
3854,1894,0.0340,171.31
3858,380,0.1905,449.41
3861,965,0.1565,221.78
3865,2260,0.0340,72.16
3867,691,0.0136,41.77
3873,1222,0.0068,14.88
3875,1395,0.4218,595.97
3877,1392,0.0204,107.91
3878,273,0.9320,1446.99
3887,2471,0.0340,87.75
3900,155,0.2517,573.34
3912,235,2.2449,5419.41
3921,1957,0.0272,46.45
3925,146,0.0476,133.76
3930,2291,0.0136,49.51
3937,1411,0.4898,1132.47
3949,2711,0.0136,35.34
3954,1393,0.0612,34.13
3956,171,0.0479,71.47
3961,2329,0.0274,34.49
3963,176,0.1712,333.04
3970,1960,0.0274,14.95
3971,1152,0.0068,7.88
3972,2119,0.1370,552.91
3975,725,0.0479,151.30
3978,1706,0.1096,113.29
3979,120,0.3699,826.26
3991,257,0.3219,866.45
3993,387,0.1233,151.92
3995,2877,0.0274,50.53
4002,211,1.2534,1735.37
4003,996,0.0479,145.12
4005,2033,0.0068,21.63
4010,396,0.2055,179.82
4012,260,0.7123,2080.82
4015,2189,0.0411,71.32
4021,934,0.1027,145.88
4029,1905,0.1096,248.17
4034,880,0.0274,58.08
4040,280,0.0068,16.66
4043,495,0.0205,101.42
4046,358,0.1164,427.30
4051,139,0.0890,120.00
4056,118,0.1712,262.96
4058,1421,0.0068,33.52
4061,1097,0.1370,250.39
4063,1507,0.1507,162.52
4065,442,0.2877,959.17
4089,2479,0.0753,166.54
4099,1568,0.1986,316.13
4104,2224,0.0274,83.69
4110,1481,0.0822,312.49
4111,1356,0.9863,1824.10
4116,571,0.0137,7.95
4118,1803,0.0274,157.49
4119,574,0.0753,211.81
4121,791,0.0274,50.46
4128,2726,0.0342,317.61
4141,2142,0.0068,141.63
4143,2265,0.0068,41.66
4150,1492,0.0342,159.31
4158,2140,0.0068,29.96
4159,465,0.0068,32.96
4168,940,0.0068,57.83
4173,1926,0.0137,54.93
4180,2676,0.0137,46.43
4183,382,0.1712,300.84
4188,184,0.0274,49.38
4203,2659,0.0068,74.96
4204,326,2.3151,3677.23
4206,1274,0.0274,22.91
4209,1110,0.0137,39.61
4212,1714,0.0068,31.47
4216,372,0.0753,135.25
4220,1246,0.0479,84.99
4221,1943,0.0342,34.74
4234,2277,0.0274,62.42
4237,1028,0.0685,219.57
4248,2276,0.0205,56.22
4250,226,0.0274,118.27
4259,2417,0.1849,209.01
